name,price,image_url,scroll_batch,sku,short_description,detail_url,loaded_via_scroll
Chaz Kangeroo Hoodie,$52,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh01-gray_main.jpg,0,MH01,This is a variable product called a Chaz Kangeroo Hoodie,https://scrapingcourse.com/ecommerce/product/chaz-kangeroo-hoodie,False
Teton Pullover Hoodie,$70,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh02-black_main.jpg,0,MH02,This is a variable product called a Teton Pullover Hoodie,https://scrapingcourse.com/ecommerce/product/teton-pullover-hoodie,False
Bruno Compete Hoodie,$63,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh03-black_main.jpg,0,MH03,This is a variable product called a Bruno Compete Hoodie,https://scrapingcourse.com/ecommerce/product/bruno-compete-hoodie,False
Frankie Sweatshirt,$60,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh04-green_main.jpg,0,MH04,This is a variable product called a Frankie  Sweatshirt,https://scrapingcourse.com/ecommerce/product/frankie--sweatshirt,False
Hollister Backyard Sweatshirt,$52,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh05-white_main.jpg,0,MH05,This is a variable product called a Hollister Backyard Sweatshirt,https://scrapingcourse.com/ecommerce/product/hollister-backyard-sweatshirt,False
Stark Fundamental Hoodie,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh06-blue_main.jpg,0,MH06,This is a variable product called a Stark Fundamental Hoodie,https://scrapingcourse.com/ecommerce/product/stark-fundamental-hoodie,False
Hero Hoodie,$54,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh07-gray_main.jpg,0,MH07,This is a variable product called a Hero Hoodie,https://scrapingcourse.com/ecommerce/product/hero-hoodie,False
Oslo Trek Hoodie,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh08-brown_main.jpg,0,MH08,This is a variable product called a Oslo Trek Hoodie,https://scrapingcourse.com/ecommerce/product/oslo-trek-hoodie,False
Abominable Hoodie,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh09-blue_main.jpg,0,MH09,This is a variable product called a Abominable Hoodie,https://scrapingcourse.com/ecommerce/product/abominable-hoodie,False
Mach Street Sweatshirt,$62,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh10-blue_main.jpg,0,MH10,This is a variable product called a Mach Street Sweatshirt,https://scrapingcourse.com/ecommerce/product/mach-street-sweatshirt,False
Grayson Crewneck Sweatshirt,$64,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh11-white_main.jpg,0,MH11,This is a variable product called a Grayson Crewneck Sweatshirt,https://scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt,False
Ajax Full-Zip Sweatshirt,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh12-green_main.jpg,0,MH12,This is a variable product called a Ajax Full-Zip Sweatshirt,https://scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt,False
Marco Lightweight Active Hoodie,$74,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh13-blue_main.jpg,2,MH13,This is a variable product called a Marco Lightweight Active Hoodie,https://scrapingcourse.com/ecommerce/product/marco-lightweight-active-hoodie,True
Beaumont Summit Kit,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj01-yellow_main.jpg,2,MJ01,This is a variable product called a Beaumont Summit Kit,https://scrapingcourse.com/ecommerce/product/beaumont-summit-kit,True
Hyperion Elements Jacket,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj02-green_main.jpg,2,MJ02,This is a variable product called a Hyperion Elements Jacket,https://scrapingcourse.com/ecommerce/product/hyperion-elements-jacket,True
Montana Wind Jacket,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj03-black_main.jpg,2,MJ03,This is a variable product called a Montana Wind Jacket,https://scrapingcourse.com/ecommerce/product/montana-wind-jacket,True
Kenobi Trail Jacket,$47,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj04-black_main.jpg,2,MJ04,This is a variable product called a Kenobi Trail Jacket,https://scrapingcourse.com/ecommerce/product/kenobi-trail-jacket,True
Jupiter All-Weather Trainer,$56.99,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj06-blue_main.jpg,2,MJ06,This is a variable product called a Jupiter All-Weather Trainer,https://scrapingcourse.com/ecommerce/product/jupiter-all-weather-trainer,True
